# Formatted output sample - tab-separated:
# <ansi_display>\t<command>\t<description>\t<tags>\t<examples>

# List branches with last commit info                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mHistory: # List branches with last commit info[0m	# List branches with last commit info	History: # List branches with last commit info		# List branches with last commit info
# Use template to rearrange fields\; echo foo,bar,baz | fzf --delimiter , --with-nth '{n},{1},{3},{2},{1..2}'                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mHistory: # Use template to rearrange fields\; echo foo,bar,[0m	# Use template to rearrange fields\; echo foo,bar,baz | fzf --delimiter , --with-nth '{n},{1},{3},{2},{1..2}'	History: # Use template to rearrange fields\; echo foo,bar,		# Use template to rearrange fields\; echo foo,bar,baz | fzf --delimiter , --with-nth '{n},{1},{3},{2},{1..2}'
bat ~/Coding/pi-site/.env                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mHistory: bat ~/Coding/pi-site/.env[0m	bat ~/Coding/pi-site/.env	History: bat ~/Coding/pi-site/.env		bat ~/Coding/pi-site/.env
bindkey | grep -i 'meta-a\|\\ea'                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mHistory: bindkey | grep -i 'meta-a\|\\ea'[0m	bindkey | grep -i 'meta-a\|\\ea'	History: bindkey | grep -i 'meta-a\|\\ea'		bindkey | grep -i 'meta-a\|\\ea'
bindkey | less                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mHistory: bindkey | less[0m	bindkey | less	History: bindkey | less		bindkey | less
bindkey | rg 'fzf-git|_fzf_git|\^G'                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mHistory: bindkey | rg 'fzf-git|_fzf_git|\^G'[0m	bindkey | rg 'fzf-git|_fzf_git|\^G'	History: bindkey | rg 'fzf-git|_fzf_git|\^G'		bindkey | rg 'fzf-git|_fzf_git|\^G'
brew install                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mInstall package with Homebrew brew, install, package, homebrew[0m	brew install	Install package with Homebrew	brew, install, package, homebrew	brew install git | brew install --cask app-name
brew install bash ruby bat chrome-cli figlet gh mise ripgrep                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mHistory: brew install bash ruby bat chrome-cli figlet gh mi[0m	brew install bash ruby bat chrome-cli figlet gh mise ripgrep	History: brew install bash ruby bat chrome-cli figlet gh mi		brew install bash ruby bat chrome-cli figlet gh mise ripgrep
brew install libyaml pkg-config openssl@3 readline                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mHistory: brew install libyaml pkg-config openssl@3 readline[0m	brew install libyaml pkg-config openssl@3 readline	History: brew install libyaml pkg-config openssl@3 readline		brew install libyaml pkg-config openssl@3 readline
brew install ruby                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mHistory: brew install ruby[0m	brew install ruby	History: brew install ruby		brew install ruby
brew install watchexec                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mHistory: brew install watchexec[0m	brew install watchexec	History: brew install watchexec		brew install watchexec
brew install zoxide                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mHistory: brew install zoxide[0m	brew install zoxide	History: brew install zoxide		brew install zoxide
brew uninstall ruby                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mHistory: brew uninstall ruby[0m	brew uninstall ruby	History: brew uninstall ruby		brew uninstall ruby
cat                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mDisplay file contents cat, file, display, read, contents[0m	cat	Display file contents	cat, file, display, read, contents	cat file.txt | cat ~/.zshrc
cat /proc/meminfo && cat /proc/cpuinfo                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mShow detailed memory and CPU information info, raspberrypi, show, system, memory, cpu, details[0m	cat /proc/meminfo && cat /proc/cpuinfo	Show detailed memory and CPU information	info, raspberrypi, show, system, memory, cpu, details	
cd ..                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mGo to parent directory cd, directory, parent, up, navigate[0m	cd ..	Go to parent directory	cd, directory, parent, up, navigate	cd .. | cd ../..
cd .dotfiles                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mNavigate to dotfiles directory cd, dotfiles, navigate, directory[0m	cd .dotfiles	Navigate to dotfiles directory	cd, dotfiles, navigate, directory	cd .dotfiles | cd ~/.dotfiles
chmod +x ~/scripts/everything.fzf/chrome.fzf                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mHistory: chmod +x ~/scripts/everything.fzf/chrome.fzf[0m	chmod +x ~/scripts/everything.fzf/chrome.fzf	History: chmod +x ~/scripts/everything.fzf/chrome.fzf		chmod +x ~/scripts/everything.fzf/chrome.fzf
chmod +x ~/scripts/fzf-git.sh/fzf-git.sh                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mHistory: chmod +x ~/scripts/fzf-git.sh/fzf-git.sh[0m	chmod +x ~/scripts/fzf-git.sh/fzf-git.sh	History: chmod +x ~/scripts/fzf-git.sh/fzf-git.sh		chmod +x ~/scripts/fzf-git.sh/fzf-git.sh
claude                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mHistory: claude[0m	claude	History: claude		claude
claude --help | less -S                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mHistory: claude --help | less -S[0m	claude --help | less -S	History: claude --help | less -S		claude --help | less -S
clear                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mClear terminal screen clear, terminal, screen, reset[0m	clear	Clear terminal screen	clear, terminal, screen, reset	clear
code -r                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mOpen in VS Code and reload window code, vscode, editor, open, reload[0m	code -r	Open in VS Code and reload window	code, vscode, editor, open, reload	code -r . | code -r file.txt
copypath                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mHistory: copypath[0m	copypath	History: copypath		copypath
cp -r ~/Coding/fzf-git.sh ~/scripts                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mHistory: cp -r ~/Coding/fzf-git.sh ~/scripts[0m	cp -r ~/Coding/fzf-git.sh ~/scripts	History: cp -r ~/Coding/fzf-git.sh ~/scripts		cp -r ~/Coding/fzf-git.sh ~/scripts
cursor -r .                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mOpen directory in Cursor and reload window cursor, editor, open, reload, directory[0m	cursor -r .	Open directory in Cursor and reload window	cursor, editor, open, reload, directory	cursor -r . | cursor -r ~/.dotfiles
cursor .                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mOpen current directory in Cursor cursor, editor, open, directory[0m	cursor .	Open current directory in Cursor	cursor, editor, open, directory	cursor . | cursor ~/.dotfiles
cursor ../                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mHistory: cursor ../[0m	cursor ../	History: cursor ../		cursor ../
cursor ../zsh-old                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mHistory: cursor ../zsh-old[0m	cursor ../zsh-old	History: cursor ../zsh-old		cursor ../zsh-old
cursor ../zsh-old-2                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mHistory: cursor ../zsh-old-2[0m	cursor ../zsh-old-2	History: cursor ../zsh-old-2		cursor ../zsh-old-2
cursor ./zsh                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mHistory: cursor ./zsh[0m	cursor ./zsh	History: cursor ./zsh		cursor ./zsh
cursor fz-cmd                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mHistory: cursor fz-cmd[0m	cursor fz-cmd	History: cursor fz-cmd		cursor fz-cmd
cursor ~/.dotfiles/zsh/aliases.zsh                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mHistory: cursor ~/.dotfiles/zsh/aliases.zsh[0m	cursor ~/.dotfiles/zsh/aliases.zsh	History: cursor ~/.dotfiles/zsh/aliases.zsh		cursor ~/.dotfiles/zsh/aliases.zsh
d                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mHistory: d[0m	d	History: d		d
df -h                                                                                                                                                                                                                                                                                                            [38;2;31;31;31mShow disk usage in human readable format info, raspberrypi, show, system, disk, usage, space[0m	df -h	Show disk usage in human readable format	info, raspberrypi, show, system, disk, usage, space	df -h /
